,repo_name,compound,rank,stars,username,issues,days_since_lc,repos_by_user,day,month,year,forks,cluster_result
47768,-0.0028929604628736,0.0,-0.2448979591836734,-0.2198494182067077,0.4668941979522184,0.9912790697674418,0.0,12.0,0.6666666666666666,1.0,-1.5,0.135008896797153,4
135955,-0.4045323047251687,1.604651162790698,0.7959183673469388,-0.0293634496919917,0.3119453924914676,-0.2093023255813953,0.5555555555555556,15.0,0.4,0.3333333333333333,0.0,-0.5951957295373665,4
63141,0.9011571841851496,0.0,0.7142857142857143,-0.576933607118412,-0.1324232081911262,0.2819767441860465,0.0555555555555555,10.5,0.0666666666666666,0.3333333333333333,-1.0,-0.5740658362989324,4
41676,-1.0525554484088715,0.0,0.8979591836734694,-0.6406570841889117,-0.225938566552901,-0.3662790697674418,0.0,26.5,0.2,0.3333333333333333,1.0,-0.5622775800711743,4
135664,-0.4045323047251687,1.604651162790698,1.0,-0.3523613963039014,0.3119453924914676,-0.2703488372093023,0.0555555555555555,15.0,0.2666666666666666,0.1666666666666666,-0.5,-0.6361209964412812,4
48687,-0.0028929604628736,0.0,-0.4285714285714285,0.6489390828199864,0.4668941979522184,-0.1191860465116279,-0.1666666666666666,12.0,-0.0666666666666666,-0.1666666666666666,0.5,1.0140124555160142,4
40352,-0.9406943105110896,2.038340666247643,-0.5510204081632653,0.4878165639972621,-0.225938566552901,0.4825581395348837,15.5,26.5,-0.5333333333333333,0.0,0.5,0.4933274021352313,4
49626,-0.973963355834137,0.0,0.4081632653061224,-0.5096509240246406,0.4668941979522184,-0.2180232558139535,-0.0555555555555555,12.0,-0.0666666666666666,-0.8333333333333334,1.5,-0.287144128113879,4
135755,-0.4045323047251687,1.604651162790698,0.7959183673469388,-0.2481861738535249,0.3119453924914676,-0.2383720930232558,1.8333333333333333,15.0,0.8,0.8333333333333334,-0.5,-0.6252224199288257,4
62890,0.4826422372227579,-1.0685103708359525,-0.2448979591836734,0.3121149897330595,-0.1324232081911262,-0.1133720930232558,0.9444444444444444,10.5,0.7333333333333333,0.0,0.5,-0.429270462633452,4
48614,-0.0028929604628736,0.0,-0.3061224489795918,0.5672826830937714,0.4668941979522184,-0.125,-0.1666666666666666,12.0,-0.6,-0.6666666666666666,0.5,0.9635231316725978,4
135999,-0.4045323047251687,1.604651162790698,0.3265306122448979,0.0494182067077344,0.3119453924914676,-0.2122093023255813,0.8333333333333334,15.0,1.0,1.0,0.0,-0.5809608540925267,4
48158,-0.0028929604628736,0.0,-0.1428571428571428,0.1347707049965776,0.4668941979522184,-0.1162790697674418,0.7222222222222222,12.0,0.4,-0.5,-0.5,0.5369217081850534,4
41159,0.0332690453230472,0.0,0.3469387755102041,-0.7765229295003422,-0.225938566552901,0.0901162790697674,-0.1111111111111111,26.5,0.2666666666666666,-0.8333333333333334,1.0,-0.5989768683274022,4
63114,0.9011571841851496,0.0,-0.2857142857142857,-0.6044490075290897,-0.1324232081911262,0.2761627906976744,0.5,10.5,0.4,-0.1666666666666666,-1.0,-0.5798487544483986,4
49479,-0.0255544840887174,0.0,0.2653061224489796,0.0533196440793976,0.4668941979522184,-0.0581395348837209,4.388888888888889,12.0,0.6,-0.3333333333333333,1.0,0.3434163701067615,4
62518,0.4826422372227579,-1.0685103708359525,0.3061224489795918,0.0266255989048596,-0.1324232081911262,-0.1453488372093023,0.1666666666666666,10.5,1.0,1.0,-0.5,-0.472864768683274,4
62203,0.4826422372227579,-1.0685103708359525,0.2448979591836734,-0.1368240930869267,-0.1324232081911262,-0.2122093023255813,1.2222222222222223,10.5,-0.6,-0.8333333333333334,-0.5,-0.5042259786476868,4
48369,-0.0028929604628736,0.0,-0.1020408163265306,0.3336071184120465,0.4668941979522184,0.2470930232558139,-0.0555555555555555,12.0,0.0666666666666666,1.0,-0.5,0.7319839857651246,4
62556,0.4826422372227579,-1.0685103708359525,0.0,0.041409993155373,-0.1324232081911262,-0.1191860465116279,-0.1111111111111111,10.5,0.0666666666666666,-0.6666666666666666,0.0,-0.4699733096085409,4
41569,-0.2719382835101254,0.0,0.2244897959183673,-0.3984941820670773,-0.225938566552901,0.2936046511627907,0.3888888888888889,26.5,0.0666666666666666,1.0,1.0,-0.2304270462633452,4
63462,0.0776277724204435,0.0,0.5918367346938775,0.0871321013004791,-0.1324232081911262,2.183139534883721,-0.1666666666666666,10.5,-0.4,0.1666666666666666,0.5,-0.3269572953736654,4
63080,0.9011571841851496,0.0,1.0,-0.6636550308008213,-0.1324232081911262,0.2093023255813953,0.2777777777777778,10.5,0.1333333333333333,1.0,-1.5,-0.5945284697508897,4
41365,-0.1306653809064609,0.0,0.673469387755102,0.6687200547570158,-0.225938566552901,2.552325581395349,0.0555555555555555,26.5,0.8666666666666667,0.6666666666666666,1.0,0.6585854092526691,4
63257,0.9011571841851496,0.0,0.5102040816326531,-0.3366872005475702,-0.1324232081911262,0.6773255813953488,0.8888888888888888,10.5,-0.0666666666666666,-0.5,1.0,-0.5209074733096085,4
